title,content,status,posttype,thumbnail,spilltype,cause,date,materials,companies,legal,environmental,sources,coords
CN Rail Coal Train,A derailment of a coal train bound for Prince Rupert resulted in 34 rail cars leaving the tracks. Most of the product left the rail cars either during the accident or during clean up operations.,Published,Spill,To Be Fixed,Train,Unknown,2011,"Unknown Litres | Other,","CN Rail | https://cn.ca,",,,"BC Ministry of Environment | http://www.env.gov.bc.ca/eemp/incidents/2011/coal_train_fort_fraser.htm,",54.02995670719501|-124.4644546508789
Zinc Concentrate Truck,"On November 1, 2011 a zinc concentrate truck operated by Maple Leaf Loading Inc. left Highway 37A and crashed into Strohn Lake in Bear Glacier Provincial Park. The truck and trailers were transporting the zinc concentrate from the Wolverine Mine near Watson Lake, Yukon to the Port of Stewart. The driver managed to escape with minor injuries.",Published,Spill,To Be Fixed,Automobile,Other,2011,"49 tons Litres | Other,300 Litres | Diesel,","Maple Leaf Loading Inc | ,",,,"BC Ministry of Environment | http://www.env.gov.bc.ca/eemp/incidents/pdf/strohn_lake_spill_fact_sheet.pdf,",56.10555537335211|-129.6620178222656
Sour gas release,There was a malfunction involving a pigging barrel receiving site near Mile 111 of the Alaska Highway.  An 18 inch sour gas gathering line that runs to the Taylor gas plant ruptured.  The release was isolated by Emergency Shutoff Devices (ESDâ€™s) and manual shut off valves.  The quantity of sour gas (H2S) released during the incident is unknown.  The Alaska Highway was closed for duration of the incident.  The cause of the line malfunction is unknown.,Published,Spill,To Be Fixed,Pipeline,Unknown,2009,"Unknown Litres | Chemicals,","Spectra Energy | http://www.spectraenergy.com/,Westcoast Energy Inc | https://noms.wei-pipeline.com/,",,,"Transportation Safety Board of Canada | http://www.tsb.gc.ca/eng/rapports-reports/pipeline/2009/p09h0006/p09h0006.asp,BC Ministry of Environment | http://www.env.gov.bc.ca/eemp/incidents/2009/spectra-sourgas-feb09.htm,",56.79175985796451|-121.7994976043701
Gas leak,"Spectra Energy said the unplanned, ""one-time"" release happened around 8 a.m. at its Jedney I sour gas processing plant, about 150 kilometres northwest of Fort St. John.",Published,Spill,To Be Fixed,Pipeline,Unknown,2013,"Unknown Litres | Other,","Spectra Energy | http://www.spectraenergy.com/,",,,"Alaska Highway News | http://www.alaskahighwaynews.ca/news/local-news/gas-leak-north-of-fsj-1.1147374,",56.7918538739606|-121.7875671386719
Prince George Pulp Mill,A transfer line between the two mills broke during the transfer of a chlorine dioxide solution.  The solution released to the ground.  The RP activated its emergency plan to contain and neutralize the material.  Impacted soil has been removed from the area.,Published,Spill,To Be Fixed,Pipeline,Unknown,2009,"14,000 Litres | Other,","Canfor | http://www.canforpulp.com/,",,,"BC Ministry of Environment | http://www.env.gov.bc.ca/eemp/incidents/2009/pg-chem-spill-feb09.htm,",53.95002470421808|-122.7075004577637
Sodium hydrosulphide,"On November 23, 2008 a Ken Johnson Trucking Ltd tractor and chemical tanker was involved in a single motor vehicle accident while on route to Huckleberry Mine site south of Houston, BC. The tractor and chemical tanker rolled over into a ditch and as a result a large gash occurred to the front passenger portion of the tanker releasing all contents into the ditch which flowed down the ditch and partially through a culvert and into a small marshy lake environment.",Published,Spill,To Be Fixed,Automobile,Unknown,2008,,"Ken Johnson Trucking | http://www.kjtrucking.com/,",,Ran into marshland; unknown consequences.,"BC Ministry of Environment | http://www.env.gov.bc.ca/eemp/incidents/pdf/kj_sodium_hydro_photos.pdf,",53.98334835142273|-126.7647171020508
Thompson River Coal Spill,"The spill was due to a train derailment on a CN Railway line (the train was a CP Rail train). A total of twenty cars derailed, with eight remaining on the bridge structure and twelve falling into the Thompson River. Each of the railcars had a capacity of 120 tonnes. 800 tonnes of metallurgical coal are estimated to have been dumped into the river.",Published,Spill,To Be Fixed,Train,Unknown,2006,"800 Litres | Other,","CN Rail | https://cn.ca,",,"Various tests done, food advisories issued","BC Ministry of Environment | http://www2.news.gov.bc.ca/news_releases_2005-2009/2006ENV0068-001012.htm,BC Ministry of Environment | http://www.env.gov.bc.ca/eemp/incidents/2006/lytton_06.htm,",50.24094740580762|-121.5782260894775
Sodium Hydroxide Spill,"A Canadian National Railway (CN) train derailed on Aug. 5, 2005, spilling 40,000 L sodium hydroxide into the Cheakamus River. The spill killed approximately 90 per cent of the fish in the river at that time. Hardest hit were juvenile steelhead, rainbow trout and coho, followed by adult chinook and pink salmon.",Published,Spill,To Be Fixed,Train,Unknown,2005,"40,000 Litres | Chemicals,","CN Rail | https://cn.ca,",,"The anadromous and resident fish species in the Cheakamus River were
immediately affected by the spill. The effect was observed as skin burns and gill
haemorrhaging, which resulted in suffocation. Both salmonids: trout, salmon and
char and non-salmonids: bull-heads, lamprey and stickleback were observed
dead in the river margins after the concentrated pulse of sodium hydroxide
passed down the river.
Virtually all free swimming fish occupying the Cheakamus River at the time of the
spill were killed. Those surviving the event were either still within the gravel as
developing alevins, residing in tributary streams, or in back-channels. Others
had not yet entered the river from the ocean during their annual spawning or
feeding migrations. While over 4,700 dead fish were collected, examined and
archived, the numbers killed were clearly much greater, with estimates as high
as 501,000 fish killed.","BC Ministry of Environment | http://www.env.gov.bc.ca/epd/regions/lower_mainland/special_studies/cheakamus/cheakamus.pdf,BC Ministry of Environment | http://www.env.gov.bc.ca/eemp/incidents/2005/cheakamus_05.htm,Vancouver Sun | http://www.canada.com/vancouver/vancouversun/news/story.html?id=44d5e1a0-00c7-4732-865b-b6fc4d43677e&page=1,Pacific Streamkeepers | http://www.pskf.ca/publications/cheakums05/photos05.html,",50.08162683233315|-123.0557799339294
Nestucca Barge Oil Spill,"The tug Ocean Services rammed and holed its tow â€” the tanker barge Nestucca â€” off Gray's Harbour, Washington. An estimated 87,400 litres (5500 barrels) of Bunker C oil spilled. The prevailing winter winds drifted the spilled oil along the scenic west coast of Vancouver Island in BC. Numerous beaches were oiled and many sensitive shoreline ecosystems suffered damage. Reports indicated that as many as 56,000 seabirds were killed. Many crab and shellfish populations were oiled in addition to herring spawning areas. Fishing practices were affected due to the contamination of the shoreline.",Published,Spill,To Be Fixed,Ship,Human Error,1988,"87,400 Litres | Oil,","Sause Brothers Ocean Towing Co. | http://www.sause.com/,",,"The spill response was managed by Pembina Pipeline Corporation. This spill was one of the most expensive inland pipeline oil spill in Canadian history. The company has spent over $30,000,000 and the local government and provincial agencies were also heavily impacted.","BC Ministry of Environment | http://www.env.gov.bc.ca/eemp/incidents/earlier/nestucca_88.htm,",46.92025531537451|-124.1400146484375
Pine River Oil Spill,"Over 250,000 litres of oil were released and resulted in a major fish kill a short distance downstream from the rupture. The company was charged under the federal Fisheries Act with allegedly depositing a deleterious substance into the river in violation of subsections 36 (3) and 35 (1) and under the Migratory Birds Regulations. The spill response was managed by Pembina Pipeline Corporation. This spill was one of the most expensive inland pipeline oil spill in Canadian history. The company has spent over $30,000,000 and the local government and provincial agencies were also heavily impacted.",Published,Spill,To Be Fixed,Pipeline,Unknown,2000,"985,000 Litres | Oil,","Pembina Pipeline Corp. | http://www.pembina.com/,",,"The environmental impact included mortality to fish, insects and wildlife. The river water supply to the District of Chetwynd was shut off and the use of many groundwater wells near the river was discontinued.","BC Ministry of Environment | http://www.env.gov.bc.ca/eemp/incidents/earlier/pembina_00.htm,Daily News | http://www.calverley.ca/Part17-Geology,%20Archeology/BN17-10.htm,Watershed Sentinel | http://www.watershedsentinel.ca/content/pine-river-oil-spill,",55.60996584266368|-121.8208694458008
Kinder Morgan pipeline spill,"The 12-barrel spill occurred near Merritt, B.C., while Kinder Morgan was performing maintenance on the line.",Published,Spill,To Be Fixed,Pipeline,Human Error,2013,"1,900 Litres | Oil,","Kinder Morgan | http://www.kindermorgan.com/,",,,"TWN Sacred Trust | http://twnsacredtrust.ca/tag/kinder-morgan/,Warrior Publications | https://warriorpublications.wordpress.com/2013/06/13/merrit-spill-underscores-risks-of-kinder-morgans-plans/,",49.96778511717211|-120.9316635131836
Kinder Morgan spill,"The company was alerted to an â€œanomalyâ€ in the line and sent a crew to the area Wednesday. That crew discovered oil on the ground and the line was shut down. A 15-member crew worked through the night, and Kinder Morgan said Thursday that between 20 and 25 barrels of oil spilled, or up to 4,000 litres.",Published,Spill,To Be Fixed,Pipeline,Unknown,2013,"4,000 Litres | Oil,","Kinder Morgan | http://www.kindermorgan.com/,",,,"Globe and Mail | http://www.theglobeandmail.com/report-on-business/industry-news/energy-and-resources/kinder-morgans-trans-mountain-pipeline-shut-after-second-leak-in-month/article12855931/,",49.42895164768645|-121.3060569763184
Enbridge Pipelines spill,"On 08 February 2013, a pipeline crew was performing a planned investigative dig at kilometre post 391 of Enbridge Pipelines Inc.'s Line 21, as part of its integrity management program. During the excavation, hydrocarbon odours and a crude oil sheen were noticed at the pipe surface. Further examination revealed a through-wall crack of 3.4 millimetres long at the external pipe surface located near the girth weld. Although no free-standing oil was present, approximately 54 cubic metres of oil-contaminated soil was removed from the site during cleanup.",Published,Spill,To Be Fixed,Pipeline,Maintenance,2013,"54,000 Litres | Other,","Enbridge Pipelines | http://www.enbridge.com/,",,,"Transportation Safety Board of Canada | http://www.tsb.gc.ca/eng/rapports-reports/pipeline/2013/p13h0013/p13h0013.asp,",62.99016951023255|-123.20068359375
Westcoast Energy spill,"At 2305 Pacific Standard Time on 28 June 2012, a pipeline rupture and ignition occurred on Westcoast Energy Inc.'s 406.4 mm (16-inch) Nig Creek pipeline, located about 40 km northwest of Buick, British Columbia. Approximately 25 minutes later, a pipeline rupture and ignition occurred on Bonavista Energy Corporation's 168.3 mm (6.625-inch) pipeline installed nearby in the same right-of-way. At the time of the ruptures, both pipelines had been shut down and contained pressurized sour gas. The fire spread to adjacent forested areas. A large crater was created and one piece of the Nig Creek pipe was ejected along with other debris to approximately 20 m from the rupture site. The total volume of gas released was 955 000 m3 (approx.) for the Nig Creek pipeline and 6 400 m3 (approx.) for the Bonavista pipeline. The total area burned was approximately 1.6 hectares.",Published,Spill,To Be Fixed,Explosion,Maintenance,2012,"955,000 m3 Litres | Other,6,400 m3 Litres | Other,","Westcoast Energy | https://noms.wei-pipeline.com/,Spectra | http://www.spectraenergy.com/,",,Massive explosion destroyed all nearby life,"Transportation Safety Board of Canada | http://www.tsb.gc.ca/eng/rapports-reports/pipeline/2012/P12H0105/P12H0105.asp,",56.84146141472321|-121.475830078125
TransCanada PipeLines spill,"At approximately 2305 Eastern Standard Time, on 19 February 2011, TransCanada PipeLines Limited's gas control operator received notification through its emergency notification line of a pipeline fire and explosion near Beardmore, Ontario. At the time of the occurrence, TransCanada was transporting sweet natural gas. Escaping gas from a pipeline rupture had ignited, resulting in the explosion. A large crater was created and three pieces of pipe broke from the system, with pipe and other debris being ejected up to 100 m from the rupture site.",Published,Spill,To Be Fixed,Explosion,Maintenance,2011,,"TransCanada PipeLines Limited | http://www.transcanada.com/,",,,"Transportation Safety Board of Canada | http://www.tsb.gc.ca/eng/rapports-reports/pipeline/2011/p11h0011/p11h0011.asp,",49.59085085417556|-87.9744815826416
Enbridge Pipelines spill,"At approximately 0240 Mountain standard time on 29 September 2009, a crude oil leak occurred on the Enbridge Pipelines Inc. 610-mm outside diameter Line 2 at Mile Post 474.7335, immediately downstream of the Odessa pump station near Odessa, Saskatchewan. The leak occurred at a crack within a shallow dent at the 6 oâ€™clock position on the pipe. There were indications of gouging associated with the dent. The release occurred in a low lying, densely vegetated marsh. Approximately 175 cubic metres of crude oil was released.",Published,Spill,To Be Fixed,Pipeline,Maintenance,2009,"175,000 Litres | Oil,","Enbridge | http://www.enbridge.com/,",,,"Transportation Safety Board of Canada | http://www.tsb.gc.ca/eng/rapports-reports/pipeline/2009/p09h0084/p09h0084.asp,",50.28039979236922|-103.7762546539307
Transcanada spill,"At approximately 1144 Eastern daylight time on 26 September 2009, TransCanada's Line 100-1 ruptured near Marten River, Ontario. At 1151, Gas Control at TransCanada's Calgary office became aware of this event when Main Line Valve 112-1, on the upstream side of Compressor Station 112, automatically shut off due to low pipeline pressure. At the time of the occurrence, TransCanada was transporting sweet natural gas. The escaping gas did not ignite. A large crater was created and pipe pieces were ejected from the failed pipeline section and spread around the occurrence site.",Published,Spill,To Be Fixed,Explosion,Unknown,2009,"Unknown Litres | Gasoline,","Transcanada | http://www.transcanada.com/,",,,"Transportation Safety Board of Canada | http://www.tsb.gc.ca/eng/rapports-reports/pipeline/2009/p09h0083/p09h0083.asp,",46.73256632837042|-79.79850769042969
TransCanada explosion,"At approximately 1206 Eastern Daylight Time, on 12 September 2009, TransCanada's Gas Control received notification from the Englehart Fire Department through its Emergency Notification Line of an explosion and fire south of its Compressor Station 107, located near Swastika, Ontario. At the time of the occurrence, TransCanada was transporting sweet natural gas. Escaping gas from a pipeline rupture had ignited, resulting in the explosion. A large crater was created and two sections of pipe broke from the system, with one section being ejected approximately 150 metres from the rupture site.",Published,Spill,To Be Fixed,Explosion,Maintenance,2009,"3,420,000 m3 Litres | Other,","Transcanada | http://www.transcanada.com/,",,,"Transportation Safety Board of Canada | http://www.tsb.gc.ca/eng/rapports-reports/pipeline/2009/p09h0074/p09h0074.asp,",47.96556002032307|-80.013427734375
Enbridge spill,"At 1818 mountain standard time on 15 April 2007, a rupture occurred on the Enbridge Pipelinesâ€™ 864-millimetre outside diameter Line 3 at Mile Post 506.2217 downstream of the Glenavon pump station near Glenavon, Saskatchewan. The rupture occurred in a wetland area of farmland. Approximately 990 cubic metres of crude oil were released.",Published,Spill,To Be Fixed,Pipeline,Other,2007,"990,000 Litres | Oil,","Enbridge | http://www.enbridge.com/,",,,"Transportation Safety Board of Canada | http://www.tsb.gc.ca/eng/rapports-reports/pipeline/2007/p07h0014/p07h0014.asp,",50.19585819426516|-103.1261730194092
Foothills Pipe Lines failure,"<p>At 0829 mountain standard time on 18 October 2005, a programmable logic controller failed at the Foothills Pipe Lines Ltd. decompression/recompression facility owned by TransCanada and located within the BP Canada Energy Company Empress natural gas liquids facility, near Empress, Alberta. When the programmable logic controller failed, the ""A"" recompressor began to surge. At 0841, a nominal pipe size 2 section of piping on the pressure-up line for the ""A"" recompressor broke apart, releasing a negligible amount of natural gas. The control room operator immediately initiated an emergency shut-down of the facility. As a result of the emergency shut-down, approximately 23 x 10^3 cubic metres of gas was released to atmosphere and approximately 11 x 10^3 cubic metres of gas was released to flare.</p>",Published,Spill,To Be Fixed,Pipeline,Mechanical,2005,"23,000 m3 Litres | Other,11,000 m3 Litres | Other,","Foothills Pipe Lines | http://www.foothillspipe.com/,TransCanada | http://www.transcanada.com/,BP | http://www.bp.com/,",,,"Transportation Safety Board of Canada | http://www.tsb.gc.ca/eng/rapports-reports/pipeline/2005/p05h0061/p05h0061.asp,",50.48547354578499|-110.0328826904297
TransCanada spill,"<p>On 15 July 2005, at approximately 1030 mountain daylight time, an employee of Terasen Pipelines (Trans Mountain) Inc. discovered crude oil on the pipeline right-of-way, on the north side of Ward Road, Abbotsford, British Columbia. Before the discovery, the company had been delivering crude oil out of the Sumas Tank Farm when it received odour complaints from local residents. Approximately 210 cubic metres of crude oil was released into the surrounding area and made its way into Kilgard Creek.</p><p>During the week leading up to the discovery of the location of the rupture, Terasen received five odour complaints from the area immediately south of the Sumas Tank Farm. Each complaint was investigated by a Burnaby operations employee without determining the cause of the odours.<br></p>",Published,Spill,To Be Fixed,Pipeline,Unknown,2005,"210,000 Litres | Oil,","TransCanada | http://www.transcanada.com/,",,"Approximately 210 cubic metres (m3) of crude oil was released into the surrounding environment, affecting a main area covering approximately 5755 square metres (m2). The total area requiring remediation was 14 300 m2. The crude oil entered a watercourse, upstream of Ward Road, which supplies flow and nutrients to downstream fish-bearing waters. The wetlands upstream of Ward Road support amphibians, shrews, deer, garter snakes, and various birds. Approximately 5150 m3 of organic soil (peat) was removed from the wetland area during the remediation activities.",,49.0719541655301|-122.1948766708374
Trans-Northern Pipelines spill,"<p>At approximately 1053 eastern standard time, on 07 December 2002, Trans-Northern Pipelines Inc. was delivering refined petroleum products into the company station at Cornwall, Ontario, when a high-pressure situation occurred, resulting in rupture of the mainline pipeline between the Como pump station and the Lancaster pump station, near Saint-Clet, Quebec. Approximately 32 cubic metres of low sulphur diesel was released to the surrounding area and made its way into the Saint-Emmanuel drainage system.</p>",Published,Spill,To Be Fixed,Pipeline,Human Error,2002,"32,000 Litres | Diesel,","Trans-Northern Pipelines | http://www.tnpi.ca/,",,,"Transportation Safety Board of Canada | http://www.tsb.gc.ca/eng/rapports-reports/pipeline/2002/p02h0052/p02h0052.asp,",45.34345888780142|-74.278564453125
TransCanada explosion,"<p>At approximately 2300 Central daylight time, on 14 April 2002, a rupture occurred on the 914-millimetre-diameter natural gas transmission pipeline, at a zone of near-neutral (low) pH stress corrosion cracking, on Line 100-3of the TransCanada PipeLines, at main-line valve 31-3 + 5.539 kilometres, approximately two kilometres from the village of Brookdale, Manitoba. Following the rupture, the sweet natural gas ignited. With the automatic closure of main-line valves upstream and downstream of the rupture site, the fire self-extinguished at 0230 on 15 April 2002. There were no injuries. As a precautionary measure, approximately 100 people were evacuated from the occurrence area within a four-kilometre radius, including the village of Brookdale, for a period of one day.</p><p>Photo by Winnipeg Free Press.</p>",Published,Spill,To Be Fixed,Explosion,Maintenance,2002,"Unknown Litres | Other,","TransCanada | http://www.transcanada.com/,",,,"Transportation Safety Board of Canada | http://www.tsb.gc.ca/eng/rapports-reports/pipeline/2002/p02h0017/p02h0017.asp,CBC | http://www.cbc.ca/news/canada/manitoba/corrosion-cracking-blamed-for-brookdale-gas-blast-1.477707,",50.03387870129903|-99.59569931030273
Enbridge rupture,"<p>At 0836 mountain standard time on 29 September 2001, a rupture occurred on the Enbridge Pipelines Inc. 508-millimetreoutside diameter Line 10 at Mile Post 1885.64, near Binbrook, Ontario. Line 10 transports crude oil from Westover, Ontario, to Buffalo, New York, United States. The rupture occurred in an agricultural field planted with soybeans. Within eight minutes of the rupture, the control centre operator in Edmonton, Alberta, shut the line down and began to sectionalize it. Approximately 95 cubic metres of crude oil were released.</p>",Published,Spill,To Be Fixed,Pipeline,Human Error,2001,"95,000 Litres | Oil,","Enbridge | http://www.enbridge.com/,",,,"Transportation Safety Board of Canada | http://www.tsb.gc.ca/eng/rapports-reports/pipeline/2001/p01h0049/p01h0049.asp,",43.11971813686748|-79.79181289672852
